R,P,S,M,Size,Well Mixed,Random
66,43,85,62,16,false,true
79,60,50,67,16,false,true
32,83,55,86,16,false,true
48,40,85,83,16,false,true
108,26,48,74,16,false,true
67,87,35,67,16,false,true
29,34,86,107,16,false,true
61,31,59,105,16,false,true
71,19,27,139,16,false,true
24,39,52,141,16,false,true
30,18,91,117,16,false,true
52,22,75,107,16,false,true
89,14,50,103,16,false,true
127,42,4,83,16,false,true
0,161,32,63,16,false,true
0,24,168,64,16,false,true
0,0,212,44,16,false,true
0,0,209,47,16,false,true
0,0,207,49,16,false,true
0,0,212,44,16,false,true
0,0,213,43,16,false,true
0,0,234,22,16,false,true
0,0,232,24,16,false,true
0,0,218,38,16,false,true
0,0,242,14,16,false,true
0,0,238,18,16,false,true
0,0,239,17,16,false,true
0,0,247,9,16,false,true
0,0,248,8,16,false,true
0,0,255,1,16,false,true
0,0,256,0,16,false,true
