R,P,S,M,Size,Well Mixed,Random
84,42,44,86,16,false,true
72,27,51,106,16,false,true
120,23,45,68,16,false,true
58,125,41,32,16,false,true
90,34,112,20,16,false,true
31,135,62,28,16,false,true
106,70,62,18,16,false,true
95,30,119,12,16,false,true
17,139,82,18,16,false,true
52,17,162,25,16,false,true
94,50,38,74,16,false,true
64,93,69,30,16,false,true
105,68,80,3,16,false,true
64,99,80,13,16,false,true
145,69,31,11,16,false,true
79,53,98,26,16,false,true
71,139,36,10,16,false,true
70,51,95,40,16,false,true
71,129,21,35,16,false,true
19,125,76,36,16,false,true
136,4,48,68,16,false,true
69,67,59,61,16,false,true
63,67,74,52,16,false,true
81,70,46,59,16,false,true
41,132,40,43,16,false,true
88,28,124,16,16,false,true
57,177,8,14,16,false,true
0,121,64,71,16,false,true
0,8,141,107,16,false,true
0,0,136,120,16,false,true
0,0,184,72,16,false,true
0,0,193,63,16,false,true
0,0,195,61,16,false,true
0,0,221,35,16,false,true
0,0,205,51,16,false,true
0,0,179,77,16,false,true
0,0,154,102,16,false,true
0,0,146,110,16,false,true
0,0,181,75,16,false,true
0,0,177,79,16,false,true
0,0,173,83,16,false,true
0,0,184,72,16,false,true
0,0,178,78,16,false,true
0,0,155,101,16,false,true
0,0,156,100,16,false,true
0,0,148,108,16,false,true
0,0,116,140,16,false,true
0,0,110,146,16,false,true
0,0,118,138,16,false,true
0,0,144,112,16,false,true
0,0,179,77,16,false,true
0,0,172,84,16,false,true
0,0,143,113,16,false,true
0,0,149,107,16,false,true
0,0,152,104,16,false,true
0,0,131,125,16,false,true
0,0,122,134,16,false,true
0,0,112,144,16,false,true
0,0,130,126,16,false,true
0,0,144,112,16,false,true
0,0,138,118,16,false,true
0,0,113,143,16,false,true
0,0,104,152,16,false,true
0,0,76,180,16,false,true
0,0,92,164,16,false,true
0,0,83,173,16,false,true
0,0,74,182,16,false,true
0,0,46,210,16,false,true
0,0,71,185,16,false,true
0,0,70,186,16,false,true
0,0,82,174,16,false,true
0,0,72,184,16,false,true
0,0,63,193,16,false,true
0,0,56,200,16,false,true
0,0,40,216,16,false,true
0,0,55,201,16,false,true
0,0,41,215,16,false,true
0,0,33,223,16,false,true
0,0,36,220,16,false,true
0,0,65,191,16,false,true
0,0,47,209,16,false,true
0,0,30,226,16,false,true
0,0,29,227,16,false,true
0,0,39,217,16,false,true
0,0,34,222,16,false,true
0,0,29,227,16,false,true
0,0,37,219,16,false,true
0,0,50,206,16,false,true
0,0,82,174,16,false,true
0,0,72,184,16,false,true
0,0,87,169,16,false,true
0,0,68,188,16,false,true
0,0,96,160,16,false,true
0,0,112,144,16,false,true
0,0,115,141,16,false,true
0,0,110,146,16,false,true
0,0,65,191,16,false,true
0,0,42,214,16,false,true
0,0,22,234,16,false,true
0,0,25,231,16,false,true
0,0,21,235,16,false,true
0,0,36,220,16,false,true
0,0,20,236,16,false,true
0,0,14,242,16,false,true
0,0,35,221,16,false,true
0,0,59,197,16,false,true
0,0,68,188,16,false,true
0,0,65,191,16,false,true
0,0,57,199,16,false,true
0,0,32,224,16,false,true
0,0,23,233,16,false,true
0,0,19,237,16,false,true
0,0,23,233,16,false,true
0,0,20,236,16,false,true
0,0,23,233,16,false,true
0,0,10,246,16,false,true
0,0,15,241,16,false,true
0,0,26,230,16,false,true
0,0,37,219,16,false,true
0,0,54,202,16,false,true
0,0,45,211,16,false,true
0,0,41,215,16,false,true
0,0,40,216,16,false,true
0,0,41,215,16,false,true
0,0,75,181,16,false,true
0,0,97,159,16,false,true
0,0,77,179,16,false,true
0,0,87,169,16,false,true
0,0,116,140,16,false,true
0,0,102,154,16,false,true
0,0,91,165,16,false,true
0,0,135,121,16,false,true
0,0,155,101,16,false,true
0,0,179,77,16,false,true
0,0,150,106,16,false,true
0,0,122,134,16,false,true
0,0,128,128,16,false,true
0,0,110,146,16,false,true
0,0,153,103,16,false,true
0,0,165,91,16,false,true
0,0,164,92,16,false,true
0,0,179,77,16,false,true
0,0,194,62,16,false,true
0,0,216,40,16,false,true
0,0,181,75,16,false,true
0,0,133,123,16,false,true
0,0,123,133,16,false,true
0,0,148,108,16,false,true
0,0,145,111,16,false,true
0,0,123,133,16,false,true
0,0,125,131,16,false,true
0,0,102,154,16,false,true
0,0,114,142,16,false,true
0,0,129,127,16,false,true
0,0,159,97,16,false,true
0,0,175,81,16,false,true
0,0,170,86,16,false,true
0,0,183,73,16,false,true
0,0,207,49,16,false,true
0,0,206,50,16,false,true
0,0,216,40,16,false,true
0,0,230,26,16,false,true
0,0,220,36,16,false,true
0,0,240,16,16,false,true
0,0,256,0,16,false,true
