R,P,S,M,Size,Well Mixed,Random
46,42,122,46,16,true,true
37,23,139,57,16,true,true
10,24,188,34,16,true,true
63,139,0,54,16,true,true
0,228,0,28,16,true,true
0,184,0,72,16,true,true
0,189,0,67,16,true,true
0,193,0,63,16,true,true
0,225,0,31,16,true,true
0,220,0,36,16,true,true
0,197,0,59,16,true,true
0,195,0,61,16,true,true
0,178,0,78,16,true,true
0,141,0,115,16,true,true
0,144,0,112,16,true,true
0,136,0,120,16,true,true
0,117,0,139,16,true,true
0,116,0,140,16,true,true
0,77,0,179,16,true,true
0,134,0,122,16,true,true
0,151,0,105,16,true,true
0,218,0,38,16,true,true
0,216,0,40,16,true,true
0,219,0,37,16,true,true
0,235,0,21,16,true,true
0,228,0,28,16,true,true
0,243,0,13,16,true,true
0,256,0,0,16,true,true
