R,P,S,M,Size,Well Mixed,Random
91,118,47,0,16,false,false
115,38,103,0,16,false,false
62,114,80,0,16,false,false
80,114,62,0,16,false,false
157,48,51,0,16,false,false
34,104,118,0,16,false,false
124,91,41,0,16,false,false
35,42,179,0,16,false,false
143,92,21,0,16,false,false
89,30,137,0,16,false,false
86,107,63,0,16,false,false
114,80,62,0,16,false,false
44,77,135,0,16,false,false
89,137,30,0,16,false,false
71,6,179,0,16,false,false
102,127,27,0,16,false,false
67,12,177,0,16,false,false
121,128,7,0,16,false,false
0,52,204,0,16,false,false
0,0,256,0,16,false,false
