R,P,S,M,Size,Well Mixed,Random
73,27,55,101,16,true,true
12,64,32,148,16,true,true
24,24,21,187,16,true,true
9,53,35,159,16,true,true
32,12,30,182,16,true,true
15,49,5,187,16,true,true
0,15,58,183,16,true,true
0,0,67,189,16,true,true
0,0,39,217,16,true,true
0,0,34,222,16,true,true
0,0,63,193,16,true,true
0,0,92,164,16,true,true
0,0,79,177,16,true,true
0,0,113,143,16,true,true
0,0,125,131,16,true,true
0,0,96,160,16,true,true
0,0,104,152,16,true,true
0,0,137,119,16,true,true
0,0,131,125,16,true,true
0,0,168,88,16,true,true
0,0,196,60,16,true,true
0,0,193,63,16,true,true
0,0,207,49,16,true,true
0,0,198,58,16,true,true
0,0,199,57,16,true,true
0,0,138,118,16,true,true
0,0,98,158,16,true,true
0,0,54,202,16,true,true
0,0,24,232,16,true,true
0,0,13,243,16,true,true
0,0,19,237,16,true,true
0,0,42,214,16,true,true
0,0,36,220,16,true,true
0,0,33,223,16,true,true
0,0,40,216,16,true,true
0,0,46,210,16,true,true
0,0,96,160,16,true,true
0,0,91,165,16,true,true
0,0,94,162,16,true,true
0,0,137,119,16,true,true
0,0,126,130,16,true,true
0,0,173,83,16,true,true
0,0,169,87,16,true,true
0,0,220,36,16,true,true
0,0,256,0,16,true,true
