R,P,S,M,Size,Well Mixed,Random
75,59,74,48,16,true,true
93,45,51,67,16,true,true
77,37,54,88,16,true,true
14,33,96,113,16,true,true
132,0,2,122,16,true,true
101,0,0,155,16,true,true
88,0,0,168,16,true,true
74,0,0,182,16,true,true
66,0,0,190,16,true,true
123,0,0,133,16,true,true
127,0,0,129,16,true,true
170,0,0,86,16,true,true
149,0,0,107,16,true,true
163,0,0,93,16,true,true
206,0,0,50,16,true,true
223,0,0,33,16,true,true
247,0,0,9,16,true,true
249,0,0,7,16,true,true
254,0,0,2,16,true,true
256,0,0,0,16,true,true
