R,P,S,M,Size,Well Mixed,Random
34,77,56,89,16,false,true
76,67,49,64,16,false,true
107,61,35,53,16,false,true
32,83,98,43,16,false,true
63,98,73,22,16,false,true
56,48,129,23,16,false,true
94,95,46,21,16,false,true
98,77,69,12,16,false,true
72,89,95,0,16,false,true
73,95,88,0,16,false,true
101,97,58,0,16,false,true
64,59,133,0,16,false,true
61,141,54,0,16,false,true
139,70,47,0,16,false,true
55,89,112,0,16,false,true
124,71,61,0,16,false,true
74,38,144,0,16,false,true
93,86,77,0,16,false,true
93,45,118,0,16,false,true
36,79,141,0,16,false,true
119,116,21,0,16,false,true
75,10,171,0,16,false,true
62,170,24,0,16,false,true
134,4,118,0,16,false,true
111,145,0,0,16,false,true
0,256,0,0,16,false,true
