R,P,S,M,Size,Well Mixed,Random
136,59,61,0,16,false,false
39,97,120,0,16,false,false
108,95,53,0,16,false,false
86,96,74,0,16,false,false
92,107,57,0,16,false,false
141,41,74,0,16,false,false
54,112,90,0,16,false,false
70,129,57,0,16,false,false
103,86,67,0,16,false,false
37,63,156,0,16,false,false
108,65,83,0,16,false,false
73,84,99,0,16,false,false
76,110,70,0,16,false,false
95,109,52,0,16,false,false
103,41,112,0,16,false,false
41,119,96,0,16,false,false
153,43,60,0,16,false,false
41,85,130,0,16,false,false
111,125,20,0,16,false,false
20,75,161,0,16,false,false
118,124,14,0,16,false,false
18,124,114,0,16,false,false
119,81,56,0,16,false,false
43,63,150,0,16,false,false
152,67,37,0,16,false,false
26,78,152,0,16,false,false
130,21,105,0,16,false,false
37,170,49,0,16,false,false
116,16,124,0,16,false,false
54,159,43,0,16,false,false
84,38,134,0,16,false,false
58,98,100,0,16,false,false
173,43,40,0,16,false,false
38,86,132,0,16,false,false
134,87,35,0,16,false,false
54,84,118,0,16,false,false
104,109,43,0,16,false,false
100,44,112,0,16,false,false
83,87,86,0,16,false,false
72,67,117,0,16,false,false
71,145,40,0,16,false,false
78,31,147,0,16,false,false
81,105,70,0,16,false,false
121,63,72,0,16,false,false
45,105,106,0,16,false,false
156,74,26,0,16,false,false
10,157,89,0,16,false,false
138,65,53,0,16,false,false
70,108,78,0,16,false,false
124,37,95,0,16,false,false
44,155,57,0,16,false,false
156,15,85,0,16,false,false
51,120,85,0,16,false,false
113,114,29,0,16,false,false
39,30,187,0,16,false,false
131,88,37,0,16,false,false
112,41,103,0,16,false,false
33,136,87,0,16,false,false
105,39,112,0,16,false,false
67,95,94,0,16,false,false
123,80,53,0,16,false,false
19,145,92,0,16,false,false
92,120,44,0,16,false,false
30,40,186,0,16,false,false
139,96,21,0,16,false,false
24,130,102,0,16,false,false
97,74,85,0,16,false,false
15,61,180,0,16,false,false
166,67,23,0,16,false,false
38,86,132,0,16,false,false
136,94,26,0,16,false,false
18,90,148,0,16,false,false
237,0,19,0,16,false,false
256,0,0,0,16,false,false
