R,P,S,M,Size,Well Mixed,Random
82,80,94,0,16,false,false
96,108,52,0,16,false,false
91,101,64,0,16,false,false
95,97,64,0,16,false,false
104,51,101,0,16,false,false
36,154,66,0,16,false,false
131,55,70,0,16,false,false
87,80,89,0,16,false,false
41,121,94,0,16,false,false
197,39,20,0,16,false,false
16,164,76,0,16,false,false
150,37,69,0,16,false,false
16,210,30,0,16,false,false
104,42,110,0,16,false,false
50,145,61,0,16,false,false
124,17,115,0,16,false,false
13,201,42,0,16,false,false
148,9,99,0,16,false,false
72,159,25,0,16,false,false
0,37,219,0,16,false,false
0,0,256,0,16,false,false
