R,P,S,M,Size,Well Mixed,Random
82,38,9,127,16,true,true
45,17,88,106,16,true,true
18,114,19,105,16,true,true
32,0,136,88,16,true,true
81,0,0,175,16,true,true
67,0,0,189,16,true,true
47,0,0,209,16,true,true
61,0,0,195,16,true,true
55,0,0,201,16,true,true
46,0,0,210,16,true,true
54,0,0,202,16,true,true
58,0,0,198,16,true,true
42,0,0,214,16,true,true
44,0,0,212,16,true,true
33,0,0,223,16,true,true
27,0,0,229,16,true,true
44,0,0,212,16,true,true
66,0,0,190,16,true,true
58,0,0,198,16,true,true
48,0,0,208,16,true,true
84,0,0,172,16,true,true
53,0,0,203,16,true,true
36,0,0,220,16,true,true
30,0,0,226,16,true,true
23,0,0,233,16,true,true
23,0,0,233,16,true,true
54,0,0,202,16,true,true
31,0,0,225,16,true,true
9,0,0,247,16,true,true
18,0,0,238,16,true,true
4,0,0,252,16,true,true
0,0,0,256,16,true,true
