R,P,S,M,Size,Well Mixed,Random
91,77,88,0,16,false,false
59,133,64,0,16,false,false
83,27,146,0,16,false,false
54,170,32,0,16,false,false
107,37,112,0,16,false,false
44,182,30,0,16,false,false
113,24,119,0,16,false,false
80,103,73,0,16,false,false
58,72,126,0,16,false,false
63,99,94,0,16,false,false
122,82,52,0,16,false,false
67,99,90,0,16,false,false
176,31,49,0,16,false,false
67,136,53,0,16,false,false
156,9,91,0,16,false,false
32,207,17,0,16,false,false
47,2,207,0,16,false,false
256,0,0,0,16,false,false
