R,P,S,M,Size,Well Mixed,Random
69,55,72,60,16,true,true
31,61,83,81,16,true,true
27,96,74,59,16,true,true
49,45,125,37,16,true,true
78,26,108,44,16,true,true
94,82,34,46,16,true,true
65,45,70,76,16,true,true
77,21,89,69,16,true,true
73,39,82,62,16,true,true
51,69,53,83,16,true,true
113,24,13,106,16,true,true
26,9,127,94,16,true,true
9,144,22,81,16,true,true
0,0,179,77,16,true,true
0,0,159,97,16,true,true
0,0,138,118,16,true,true
0,0,149,107,16,true,true
0,0,193,63,16,true,true
0,0,201,55,16,true,true
0,0,172,84,16,true,true
0,0,198,58,16,true,true
0,0,186,70,16,true,true
0,0,191,65,16,true,true
0,0,199,57,16,true,true
0,0,211,45,16,true,true
0,0,210,46,16,true,true
0,0,239,17,16,true,true
0,0,252,4,16,true,true
0,0,256,0,16,true,true
