R,P,S,M,Size,Well Mixed,Random
33,51,64,108,16,true,true
31,99,2,124,16,true,true
0,8,134,114,16,true,true
0,0,141,115,16,true,true
0,0,142,114,16,true,true
0,0,170,86,16,true,true
0,0,161,95,16,true,true
0,0,172,84,16,true,true
0,0,204,52,16,true,true
0,0,188,68,16,true,true
0,0,195,61,16,true,true
0,0,196,60,16,true,true
0,0,201,55,16,true,true
0,0,165,91,16,true,true
0,0,183,73,16,true,true
0,0,215,41,16,true,true
0,0,187,69,16,true,true
0,0,217,39,16,true,true
0,0,242,14,16,true,true
0,0,251,5,16,true,true
0,0,238,18,16,true,true
0,0,256,0,16,true,true
