R,P,S,M,Size,Well Mixed,Random
100,64,92,0,16,true,false
56,146,54,0,16,true,false
79,65,112,0,16,true,false
64,93,99,0,16,true,false
133,48,75,0,16,true,false
66,102,88,0,16,true,false
138,57,61,0,16,true,false
114,102,40,0,16,true,false
34,180,42,0,16,true,false
33,68,155,0,16,true,false
127,48,81,0,16,true,false
82,97,77,0,16,true,false
95,66,95,0,16,true,false
98,61,97,0,16,true,false
106,125,25,0,16,true,false
23,117,116,0,16,true,false
4,111,141,0,16,true,false
7,230,19,0,16,true,false
0,0,256,0,16,true,false
