R,P,S,M,Size,Well Mixed,Random
84,87,85,0,16,false,false
65,110,81,0,16,false,false
111,79,66,0,16,false,false
61,120,75,0,16,false,false
109,80,67,0,16,false,false
81,73,102,0,16,false,false
75,50,131,0,16,false,false
86,103,67,0,16,false,false
86,73,97,0,16,false,false
78,103,75,0,16,false,false
48,66,142,0,16,false,false
112,100,44,0,16,false,false
98,25,133,0,16,false,false
50,154,52,0,16,false,false
173,14,69,0,16,false,false
42,163,51,0,16,false,false
109,13,134,0,16,false,false
111,106,39,0,16,false,false
45,31,180,0,16,false,false
57,158,41,0,16,false,false
124,32,100,0,16,false,false
22,136,98,0,16,false,false
131,39,86,0,16,false,false
59,133,64,0,16,false,false
116,73,67,0,16,false,false
31,133,92,0,16,false,false
104,48,104,0,16,false,false
33,208,15,0,16,false,false
42,25,189,0,16,false,false
255,0,1,0,16,false,false
256,0,0,0,16,false,false
