R,P,S,M,Size,Well Mixed,Random
38,84,80,54,16,false,true
63,115,44,34,16,false,true
41,37,154,24,16,false,true
64,103,71,18,16,false,true
109,43,78,26,16,false,true
39,132,68,17,16,false,true
90,55,90,21,16,false,true
68,81,71,36,16,false,true
94,101,24,37,16,false,true
52,23,149,32,16,false,true
117,92,20,27,16,false,true
35,84,112,25,16,false,true
82,85,55,34,16,false,true
77,66,102,11,16,false,true
59,115,80,2,16,false,true
72,60,124,0,16,false,true
11,137,108,0,16,false,true
116,0,140,0,16,false,true
256,0,0,0,16,false,true
