R,P,S,M,Size,Well Mixed,Random
17,55,129,55,16,false,true
80,36,103,37,16,false,true
52,105,55,44,16,false,true
53,117,52,34,16,false,true
68,12,111,65,16,false,true
77,97,2,80,16,false,true
3,156,0,97,16,false,true
0,160,0,96,16,false,true
0,142,0,114,16,false,true
0,182,0,74,16,false,true
0,183,0,73,16,false,true
0,161,0,95,16,false,true
0,137,0,119,16,false,true
0,138,0,118,16,false,true
0,156,0,100,16,false,true
0,168,0,88,16,false,true
0,124,0,132,16,false,true
0,177,0,79,16,false,true
0,176,0,80,16,false,true
0,189,0,67,16,false,true
0,197,0,59,16,false,true
0,171,0,85,16,false,true
0,148,0,108,16,false,true
0,123,0,133,16,false,true
0,141,0,115,16,false,true
0,132,0,124,16,false,true
0,119,0,137,16,false,true
0,168,0,88,16,false,true
0,163,0,93,16,false,true
0,154,0,102,16,false,true
0,162,0,94,16,false,true
0,162,0,94,16,false,true
0,160,0,96,16,false,true
0,175,0,81,16,false,true
0,204,0,52,16,false,true
0,150,0,106,16,false,true
0,168,0,88,16,false,true
0,181,0,75,16,false,true
0,171,0,85,16,false,true
0,126,0,130,16,false,true
0,81,0,175,16,false,true
0,63,0,193,16,false,true
0,66,0,190,16,false,true
0,66,0,190,16,false,true
0,71,0,185,16,false,true
0,71,0,185,16,false,true
0,56,0,200,16,false,true
0,49,0,207,16,false,true
0,48,0,208,16,false,true
0,24,0,232,16,false,true
0,15,0,241,16,false,true
0,18,0,238,16,false,true
0,20,0,236,16,false,true
0,47,0,209,16,false,true
0,36,0,220,16,false,true
0,19,0,237,16,false,true
0,22,0,234,16,false,true
0,28,0,228,16,false,true
0,28,0,228,16,false,true
0,16,0,240,16,false,true
0,0,0,256,16,false,true
