R,P,S,M,Size,Well Mixed,Random
50,68,78,60,16,false,true
47,123,27,59,16,false,true
29,63,103,61,16,false,true
73,36,39,108,16,false,true
22,84,44,106,16,false,true
44,16,126,70,16,false,true
82,36,57,81,16,false,true
57,81,47,71,16,false,true
59,48,93,56,16,false,true
91,47,69,49,16,false,true
48,118,49,41,16,false,true
46,49,113,48,16,false,true
114,116,10,16,16,false,true
50,93,93,20,16,false,true
102,108,13,33,16,false,true
8,45,160,43,16,false,true
159,0,63,34,16,false,true
196,0,0,60,16,false,true
193,0,0,63,16,false,true
224,0,0,32,16,false,true
209,0,0,47,16,false,true
174,0,0,82,16,false,true
180,0,0,76,16,false,true
131,0,0,125,16,false,true
95,0,0,161,16,false,true
119,0,0,137,16,false,true
134,0,0,122,16,false,true
167,0,0,89,16,false,true
157,0,0,99,16,false,true
145,0,0,111,16,false,true
157,0,0,99,16,false,true
164,0,0,92,16,false,true
181,0,0,75,16,false,true
148,0,0,108,16,false,true
156,0,0,100,16,false,true
176,0,0,80,16,false,true
215,0,0,41,16,false,true
226,0,0,30,16,false,true
243,0,0,13,16,false,true
249,0,0,7,16,false,true
256,0,0,0,16,false,true
