R,P,S,M,Size,Well Mixed,Random
45,40,82,89,16,false,true
59,53,44,100,16,false,true
83,7,51,115,16,false,true
56,92,13,95,16,false,true
0,42,99,115,16,false,true
0,1,126,129,16,false,true
0,0,121,135,16,false,true
0,0,111,145,16,false,true
0,0,98,158,16,false,true
0,0,109,147,16,false,true
0,0,86,170,16,false,true
0,0,84,172,16,false,true
0,0,34,222,16,false,true
0,0,42,214,16,false,true
0,0,51,205,16,false,true
0,0,62,194,16,false,true
0,0,54,202,16,false,true
0,0,63,193,16,false,true
0,0,66,190,16,false,true
0,0,78,178,16,false,true
0,0,95,161,16,false,true
0,0,71,185,16,false,true
0,0,95,161,16,false,true
0,0,51,205,16,false,true
0,0,63,193,16,false,true
0,0,55,201,16,false,true
0,0,70,186,16,false,true
0,0,34,222,16,false,true
0,0,15,241,16,false,true
0,0,22,234,16,false,true
0,0,60,196,16,false,true
0,0,57,199,16,false,true
0,0,69,187,16,false,true
0,0,69,187,16,false,true
0,0,49,207,16,false,true
0,0,38,218,16,false,true
0,0,52,204,16,false,true
0,0,29,227,16,false,true
0,0,26,230,16,false,true
0,0,32,224,16,false,true
0,0,6,250,16,false,true
0,0,0,256,16,false,true
