R,P,S,M,Size,Well Mixed,Random
42,96,40,78,16,true,true
34,147,23,52,16,true,true
39,155,23,39,16,true,true
59,150,13,34,16,true,true
138,55,21,42,16,true,true
118,73,21,44,16,true,true
112,41,49,54,16,true,true
87,49,63,57,16,true,true
30,10,94,122,16,true,true
65,65,12,114,16,true,true
0,11,86,159,16,true,true
0,0,93,163,16,true,true
0,0,112,144,16,true,true
0,0,86,170,16,true,true
0,0,100,156,16,true,true
0,0,154,102,16,true,true
0,0,184,72,16,true,true
0,0,142,114,16,true,true
0,0,143,113,16,true,true
0,0,161,95,16,true,true
0,0,93,163,16,true,true
0,0,103,153,16,true,true
0,0,61,195,16,true,true
0,0,66,190,16,true,true
0,0,29,227,16,true,true
0,0,49,207,16,true,true
0,0,25,231,16,true,true
0,0,24,232,16,true,true
0,0,28,228,16,true,true
0,0,36,220,16,true,true
0,0,17,239,16,true,true
0,0,25,231,16,true,true
0,0,31,225,16,true,true
0,0,13,243,16,true,true
0,0,0,256,16,true,true
