R,P,S,M,Size,Well Mixed,Random
30,77,84,65,16,false,true
157,35,30,34,16,false,true
8,115,103,30,16,false,true
38,20,157,41,16,false,true
89,63,32,72,16,false,true
11,50,96,99,16,false,true
50,8,120,78,16,false,true
104,58,20,74,16,false,true
12,169,0,75,16,false,true
0,159,0,97,16,false,true
0,105,0,151,16,false,true
0,114,0,142,16,false,true
0,137,0,119,16,false,true
0,113,0,143,16,false,true
0,98,0,158,16,false,true
0,112,0,144,16,false,true
0,92,0,164,16,false,true
0,103,0,153,16,false,true
0,105,0,151,16,false,true
0,99,0,157,16,false,true
0,83,0,173,16,false,true
0,101,0,155,16,false,true
0,59,0,197,16,false,true
0,54,0,202,16,false,true
0,62,0,194,16,false,true
0,43,0,213,16,false,true
0,43,0,213,16,false,true
0,31,0,225,16,false,true
0,24,0,232,16,false,true
0,2,0,254,16,false,true
0,5,0,251,16,false,true
0,0,0,256,16,false,true
