R,P,S,M,Size,Well Mixed,Random
119,47,90,0,16,false,false
47,85,124,0,16,false,false
103,119,34,0,16,false,false
85,29,142,0,16,false,false
12,174,70,0,16,false,false
95,36,125,0,16,false,false
38,161,57,0,16,false,false
121,37,98,0,16,false,false
91,108,57,0,16,false,false
69,99,88,0,16,false,false
77,126,53,0,16,false,false
105,89,62,0,16,false,false
66,69,121,0,16,false,false
103,90,63,0,16,false,false
65,38,153,0,16,false,false
62,144,50,0,16,false,false
163,56,37,0,16,false,false
34,87,135,0,16,false,false
121,91,44,0,16,false,false
50,107,99,0,16,false,false
172,65,19,0,16,false,false
64,68,124,0,16,false,false
78,124,54,0,16,false,false
92,39,125,0,16,false,false
62,160,34,0,16,false,false
112,32,112,0,16,false,false
52,62,142,0,16,false,false
112,81,63,0,16,false,false
64,66,126,0,16,false,false
134,90,32,0,16,false,false
46,74,136,0,16,false,false
126,41,89,0,16,false,false
31,146,79,0,16,false,false
140,19,97,0,16,false,false
7,242,7,0,16,false,false
53,75,128,0,16,false,false
114,87,55,0,16,false,false
104,44,108,0,16,false,false
79,91,86,0,16,false,false
63,89,104,0,16,false,false
106,123,27,0,16,false,false
54,87,115,0,16,false,false
91,93,72,0,16,false,false
133,64,59,0,16,false,false
52,58,146,0,16,false,false
166,36,54,0,16,false,false
39,144,73,0,16,false,false
116,44,96,0,16,false,false
14,141,101,0,16,false,false
195,7,54,0,16,false,false
72,122,62,0,16,false,false
84,52,120,0,16,false,false
51,137,68,0,16,false,false
143,58,55,0,16,false,false
42,86,128,0,16,false,false
76,120,60,0,16,false,false
103,45,108,0,16,false,false
94,118,44,0,16,false,false
70,33,153,0,16,false,false
88,145,23,0,16,false,false
68,2,186,0,16,false,false
256,0,0,0,16,false,false
