R,P,S,M,Size,Well Mixed,Random
48,64,53,91,16,true,true
69,65,28,94,16,true,true
76,81,64,35,16,true,true
61,87,54,54,16,true,true
76,77,32,71,16,true,true
111,65,28,52,16,true,true
93,115,14,34,16,true,true
70,146,1,39,16,true,true
0,0,245,11,16,true,true
0,0,232,24,16,true,true
0,0,250,6,16,true,true
0,0,212,44,16,true,true
0,0,214,42,16,true,true
0,0,155,101,16,true,true
0,0,124,132,16,true,true
0,0,120,136,16,true,true
0,0,160,96,16,true,true
0,0,206,50,16,true,true
0,0,187,69,16,true,true
0,0,186,70,16,true,true
0,0,188,68,16,true,true
0,0,191,65,16,true,true
0,0,183,73,16,true,true
0,0,212,44,16,true,true
0,0,170,86,16,true,true
0,0,175,81,16,true,true
0,0,155,101,16,true,true
0,0,169,87,16,true,true
0,0,192,64,16,true,true
0,0,226,30,16,true,true
0,0,227,29,16,true,true
0,0,241,15,16,true,true
0,0,256,0,16,true,true
