R,P,S,M,Size,Well Mixed,Random
60,47,48,101,16,true,true
68,41,63,84,16,true,true
54,44,49,109,16,true,true
56,17,65,118,16,true,true
10,49,52,145,16,true,true
52,27,22,155,16,true,true
42,20,36,158,16,true,true
78,42,32,104,16,true,true
129,37,35,55,16,true,true
145,19,58,34,16,true,true
66,7,128,55,16,true,true
0,138,0,118,16,true,true
0,163,0,93,16,true,true
0,182,0,74,16,true,true
0,211,0,45,16,true,true
0,216,0,40,16,true,true
0,250,0,6,16,true,true
0,254,0,2,16,true,true
0,256,0,0,16,true,true
