R,P,S,M,Size,Well Mixed,Random
20,13,135,88,16,false,true
125,25,25,81,16,false,true
38,139,0,79,16,false,true
0,158,0,98,16,false,true
0,156,0,100,16,false,true
0,186,0,70,16,false,true
0,197,0,59,16,false,true
0,187,0,69,16,false,true
0,196,0,60,16,false,true
0,204,0,52,16,false,true
0,203,0,53,16,false,true
0,169,0,87,16,false,true
0,153,0,103,16,false,true
0,121,0,135,16,false,true
0,98,0,158,16,false,true
0,97,0,159,16,false,true
0,92,0,164,16,false,true
0,101,0,155,16,false,true
0,100,0,156,16,false,true
0,67,0,189,16,false,true
0,27,0,229,16,false,true
0,29,0,227,16,false,true
0,16,0,240,16,false,true
0,5,0,251,16,false,true
0,0,0,256,16,false,true
