R,P,S,M,Size,Well Mixed,Random
85,92,79,0,16,false,false
95,85,76,0,16,false,false
95,99,62,0,16,false,false
90,72,94,0,16,false,false
62,69,125,0,16,false,false
80,116,60,0,16,false,false
98,92,66,0,16,false,false
98,31,127,0,16,false,false
57,179,20,0,16,false,false
110,37,109,0,16,false,false
66,124,66,0,16,false,false
139,51,66,0,16,false,false
71,51,134,0,16,false,false
22,212,22,0,16,false,false
63,27,166,0,16,false,false
43,149,64,0,16,false,false
108,78,70,0,16,false,false
98,94,64,0,16,false,false
75,114,67,0,16,false,false
74,77,105,0,16,false,false
86,112,58,0,16,false,false
61,37,158,0,16,false,false
53,134,69,0,16,false,false
105,56,95,0,16,false,false
82,74,100,0,16,false,false
107,97,52,0,16,false,false
48,89,119,0,16,false,false
116,72,68,0,16,false,false
59,88,109,0,16,false,false
79,137,40,0,16,false,false
49,16,191,0,16,false,false
65,169,22,0,16,false,false
82,35,139,0,16,false,false
127,69,60,0,16,false,false
55,77,124,0,16,false,false
84,99,73,0,16,false,false
105,44,107,0,16,false,false
69,94,93,0,16,false,false
128,80,48,0,16,false,false
77,65,114,0,16,false,false
54,149,53,0,16,false,false
98,84,74,0,16,false,false
70,53,133,0,16,false,false
48,132,76,0,16,false,false
90,76,90,0,16,false,false
66,129,61,0,16,false,false
81,67,108,0,16,false,false
96,129,31,0,16,false,false
77,28,151,0,16,false,false
39,197,20,0,16,false,false
0,17,239,0,16,false,false
0,0,256,0,16,false,false
