R,P,S,M,Size,Well Mixed,Random
64,83,109,0,16,true,false
93,66,97,0,16,true,false
97,120,39,0,16,true,false
30,85,141,0,16,true,false
26,21,209,0,16,true,false
7,31,218,0,16,true,false
11,59,186,0,16,true,false
53,23,180,0,16,true,false
167,28,61,0,16,true,false
141,68,47,0,16,true,false
45,161,50,0,16,true,false
42,56,158,0,16,true,false
81,16,159,0,16,true,false
64,7,185,0,16,true,false
23,32,201,0,16,true,false
73,11,172,0,16,true,false
108,11,137,0,16,true,false
226,8,22,0,16,true,false
0,256,0,0,16,true,false
