R,P,S,M,Size,Well Mixed,Random
52,74,61,69,16,false,true
37,81,53,85,16,false,true
86,25,83,62,16,false,true
69,96,10,81,16,false,true
72,30,66,88,16,false,true
86,40,34,96,16,false,true
23,119,26,88,16,false,true
32,43,110,71,16,false,true
91,9,96,60,16,false,true
109,80,34,33,16,false,true
67,67,77,45,16,false,true
71,60,79,46,16,false,true
51,105,23,77,16,false,true
16,68,100,72,16,false,true
79,23,88,66,16,false,true
64,73,52,67,16,false,true
52,86,65,53,16,false,true
14,103,91,48,16,false,true
138,0,107,11,16,false,true
249,0,0,7,16,false,true
250,0,0,6,16,false,true
254,0,0,2,16,false,true
248,0,0,8,16,false,true
252,0,0,4,16,false,true
256,0,0,0,16,false,true
