R,P,S,M,Size,Well Mixed,Random
94,55,18,89,16,true,true
69,6,122,59,16,true,true
0,158,0,98,16,true,true
0,169,0,87,16,true,true
0,166,0,90,16,true,true
0,174,0,82,16,true,true
0,182,0,74,16,true,true
0,164,0,92,16,true,true
0,168,0,88,16,true,true
0,139,0,117,16,true,true
0,149,0,107,16,true,true
0,120,0,136,16,true,true
0,108,0,148,16,true,true
0,128,0,128,16,true,true
0,118,0,138,16,true,true
0,97,0,159,16,true,true
0,133,0,123,16,true,true
0,171,0,85,16,true,true
0,189,0,67,16,true,true
0,155,0,101,16,true,true
0,94,0,162,16,true,true
0,76,0,180,16,true,true
0,99,0,157,16,true,true
0,90,0,166,16,true,true
0,81,0,175,16,true,true
0,93,0,163,16,true,true
0,64,0,192,16,true,true
0,68,0,188,16,true,true
0,76,0,180,16,true,true
0,60,0,196,16,true,true
0,42,0,214,16,true,true
0,52,0,204,16,true,true
0,65,0,191,16,true,true
0,76,0,180,16,true,true
0,53,0,203,16,true,true
0,21,0,235,16,true,true
0,15,0,241,16,true,true
0,24,0,232,16,true,true
0,11,0,245,16,true,true
0,0,0,256,16,true,true
