R,P,S,M,Size,Well Mixed,Random
125,32,65,34,16,false,true
89,98,58,11,16,false,true
76,94,76,10,16,false,true
121,44,86,5,16,false,true
40,113,103,0,16,false,true
147,57,52,0,16,false,true
35,116,105,0,16,false,true
164,50,42,0,16,false,true
16,115,125,0,16,false,true
178,46,32,0,16,false,true
38,118,100,0,16,false,true
80,122,54,0,16,false,true
113,56,87,0,16,false,true
55,125,76,0,16,false,true
142,56,58,0,16,false,true
70,105,81,0,16,false,true
99,94,63,0,16,false,true
104,51,101,0,16,false,true
88,123,45,0,16,false,true
76,72,108,0,16,false,true
46,128,82,0,16,false,true
171,52,33,0,16,false,true
43,81,132,0,16,false,true
102,126,28,0,16,false,true
82,18,156,0,16,false,true
48,165,43,0,16,false,true
89,54,113,0,16,false,true
86,122,48,0,16,false,true
63,57,136,0,16,false,true
123,105,28,0,16,false,true
37,84,135,0,16,false,true
140,79,37,0,16,false,true
39,74,143,0,16,false,true
142,86,28,0,16,false,true
91,72,93,0,16,false,true
63,75,118,0,16,false,true
101,101,54,0,16,false,true
112,45,99,0,16,false,true
31,173,52,0,16,false,true
123,51,82,0,16,false,true
61,58,137,0,16,false,true
90,62,104,0,16,false,true
123,79,54,0,16,false,true
83,69,104,0,16,false,true
77,142,37,0,16,false,true
83,24,149,0,16,false,true
175,71,10,0,16,false,true
5,74,177,0,16,false,true
241,0,15,0,16,false,true
256,0,0,0,16,false,true
