R,P,S,M,Size,Well Mixed,Random
12,69,116,59,16,true,true
45,116,14,81,16,true,true
100,79,9,68,16,true,true
103,15,30,108,16,true,true
66,30,91,69,16,true,true
64,48,74,70,16,true,true
50,56,40,110,16,true,true
32,74,63,87,16,true,true
117,39,23,77,16,true,true
99,41,77,39,16,true,true
82,65,46,63,16,true,true
57,97,33,69,16,true,true
111,108,19,18,16,true,true
43,153,40,20,16,true,true
11,90,146,9,16,true,true
25,52,155,24,16,true,true
25,49,159,23,16,true,true
54,20,145,37,16,true,true
1,71,154,30,16,true,true
0,0,240,16,16,true,true
0,0,186,70,16,true,true
0,0,203,53,16,true,true
0,0,222,34,16,true,true
0,0,251,5,16,true,true
0,0,256,0,16,true,true
