R,P,S,M,Size,Well Mixed,Random
47,76,82,51,16,true,true
65,57,67,67,16,true,true
93,20,54,89,16,true,true
14,21,127,94,16,true,true
68,96,1,91,16,true,true
0,134,0,122,16,true,true
0,89,0,167,16,true,true
0,46,0,210,16,true,true
0,28,0,228,16,true,true
0,39,0,217,16,true,true
0,10,0,246,16,true,true
0,41,0,215,16,true,true
0,47,0,209,16,true,true
0,52,0,204,16,true,true
0,56,0,200,16,true,true
0,54,0,202,16,true,true
0,38,0,218,16,true,true
0,45,0,211,16,true,true
0,24,0,232,16,true,true
0,57,0,199,16,true,true
0,60,0,196,16,true,true
0,97,0,159,16,true,true
0,119,0,137,16,true,true
0,115,0,141,16,true,true
0,109,0,147,16,true,true
0,84,0,172,16,true,true
0,122,0,134,16,true,true
0,104,0,152,16,true,true
0,136,0,120,16,true,true
0,97,0,159,16,true,true
0,103,0,153,16,true,true
0,100,0,156,16,true,true
0,69,0,187,16,true,true
0,112,0,144,16,true,true
0,143,0,113,16,true,true
0,115,0,141,16,true,true
0,110,0,146,16,true,true
0,115,0,141,16,true,true
0,116,0,140,16,true,true
0,151,0,105,16,true,true
0,150,0,106,16,true,true
0,163,0,93,16,true,true
0,183,0,73,16,true,true
0,188,0,68,16,true,true
0,163,0,93,16,true,true
0,213,0,43,16,true,true
0,226,0,30,16,true,true
0,246,0,10,16,true,true
0,256,0,0,16,true,true
