R,P,S,M,Size,Well Mixed,Random
71,52,55,78,16,false,true
36,100,20,100,16,false,true
9,56,61,130,16,false,true
34,65,28,129,16,false,true
30,84,19,123,16,false,true
1,63,49,143,16,false,true
0,19,138,99,16,false,true
0,0,166,90,16,false,true
0,0,162,94,16,false,true
0,0,143,113,16,false,true
0,0,142,114,16,false,true
0,0,133,123,16,false,true
0,0,92,164,16,false,true
0,0,71,185,16,false,true
0,0,95,161,16,false,true
0,0,133,123,16,false,true
0,0,135,121,16,false,true
0,0,132,124,16,false,true
0,0,136,120,16,false,true
0,0,115,141,16,false,true
0,0,80,176,16,false,true
0,0,92,164,16,false,true
0,0,64,192,16,false,true
0,0,35,221,16,false,true
0,0,53,203,16,false,true
0,0,42,214,16,false,true
0,0,46,210,16,false,true
0,0,53,203,16,false,true
0,0,57,199,16,false,true
0,0,85,171,16,false,true
0,0,74,182,16,false,true
0,0,56,200,16,false,true
0,0,29,227,16,false,true
0,0,19,237,16,false,true
0,0,26,230,16,false,true
0,0,18,238,16,false,true
0,0,2,254,16,false,true
0,0,0,256,16,false,true
