R,P,S,M,Size,Well Mixed,Random
57,79,44,76,16,true,true
66,77,28,85,16,true,true
129,20,9,98,16,true,true
2,77,36,141,16,true,true
4,20,45,187,16,true,true
38,10,40,168,16,true,true
19,68,7,162,16,true,true
9,32,17,198,16,true,true
0,6,23,227,16,true,true
0,7,30,219,16,true,true
0,0,30,226,16,true,true
0,0,13,243,16,true,true
0,0,9,247,16,true,true
0,0,13,243,16,true,true
0,0,22,234,16,true,true
0,0,63,193,16,true,true
0,0,21,235,16,true,true
0,0,38,218,16,true,true
0,0,28,228,16,true,true
0,0,22,234,16,true,true
0,0,46,210,16,true,true
0,0,61,195,16,true,true
0,0,66,190,16,true,true
0,0,92,164,16,true,true
0,0,61,195,16,true,true
0,0,81,175,16,true,true
0,0,102,154,16,true,true
0,0,147,109,16,true,true
0,0,117,139,16,true,true
0,0,70,186,16,true,true
0,0,58,198,16,true,true
0,0,45,211,16,true,true
0,0,48,208,16,true,true
0,0,92,164,16,true,true
0,0,28,228,16,true,true
0,0,11,245,16,true,true
0,0,9,247,16,true,true
0,0,0,256,16,true,true
