R,P,S,M,Size,Well Mixed,Random
49,110,97,0,16,false,false
123,79,54,0,16,false,false
57,50,149,0,16,false,false
64,119,73,0,16,false,false
142,46,68,0,16,false,false
39,79,138,0,16,false,false
162,46,48,0,16,false,false
51,79,126,0,16,false,false
81,89,86,0,16,false,false
124,96,36,0,16,false,false
27,40,189,0,16,false,false
165,47,44,0,16,false,false
26,85,145,0,16,false,false
145,78,33,0,16,false,false
24,121,111,0,16,false,false
154,71,31,0,16,false,false
79,59,118,0,16,false,false
104,139,13,0,16,false,false
75,28,153,0,16,false,false
127,107,22,0,16,false,false
44,80,132,0,16,false,false
81,118,57,0,16,false,false
46,94,116,0,16,false,false
110,93,53,0,16,false,false
106,21,129,0,16,false,false
73,150,33,0,16,false,false
86,44,126,0,16,false,false
69,115,72,0,16,false,false
193,11,52,0,16,false,false
39,173,44,0,16,false,false
88,47,121,0,16,false,false
50,145,61,0,16,false,false
135,43,78,0,16,false,false
34,136,86,0,16,false,false
116,59,81,0,16,false,false
15,127,114,0,16,false,false
151,83,22,0,16,false,false
36,40,180,0,16,false,false
169,62,25,0,16,false,false
51,115,90,0,16,false,false
142,56,58,0,16,false,false
27,143,86,0,16,false,false
113,100,43,0,16,false,false
66,87,103,0,16,false,false
49,109,98,0,16,false,false
79,82,95,0,16,false,false
65,83,108,0,16,false,false
96,126,34,0,16,false,false
89,11,156,0,16,false,false
78,131,47,0,16,false,false
90,30,136,0,16,false,false
24,196,36,0,16,false,false
95,39,122,0,16,false,false
73,104,79,0,16,false,false
133,65,58,0,16,false,false
44,143,69,0,16,false,false
128,36,92,0,16,false,false
63,116,77,0,16,false,false
138,55,63,0,16,false,false
26,107,123,0,16,false,false
140,70,46,0,16,false,false
75,63,118,0,16,false,false
118,124,14,0,16,false,false
49,41,166,0,16,false,false
155,56,45,0,16,false,false
47,138,71,0,16,false,false
126,49,81,0,16,false,false
60,91,105,0,16,false,false
105,52,99,0,16,false,false
84,124,48,0,16,false,false
123,39,94,0,16,false,false
11,121,124,0,16,false,false
149,28,79,0,16,false,false
22,99,135,0,16,false,false
122,88,46,0,16,false,false
59,97,100,0,16,false,false
81,105,70,0,16,false,false
135,52,69,0,16,false,false
37,130,89,0,16,false,false
105,77,74,0,16,false,false
98,63,95,0,16,false,false
146,65,45,0,16,false,false
89,41,126,0,16,false,false
83,98,75,0,16,false,false
116,66,74,0,16,false,false
49,142,65,0,16,false,false
53,86,117,0,16,false,false
95,110,51,0,16,false,false
72,46,138,0,16,false,false
79,134,43,0,16,false,false
97,31,128,0,16,false,false
5,215,36,0,16,false,false
35,2,219,0,16,false,false
250,0,6,0,16,false,false
256,0,0,0,16,false,false
