R,P,S,M,Size,Well Mixed,Random
70,24,86,76,16,false,true
60,64,55,77,16,false,true
85,52,59,60,16,false,true
75,49,65,67,16,false,true
59,89,28,80,16,false,true
47,43,105,61,16,false,true
30,152,8,66,16,false,true
0,70,120,66,16,false,true
0,0,179,77,16,false,true
0,0,207,49,16,false,true
0,0,213,43,16,false,true
0,0,199,57,16,false,true
0,0,196,60,16,false,true
0,0,198,58,16,false,true
0,0,188,68,16,false,true
0,0,222,34,16,false,true
0,0,212,44,16,false,true
0,0,199,57,16,false,true
0,0,202,54,16,false,true
0,0,215,41,16,false,true
0,0,232,24,16,false,true
0,0,232,24,16,false,true
0,0,229,27,16,false,true
0,0,242,14,16,false,true
0,0,244,12,16,false,true
0,0,245,11,16,false,true
0,0,245,11,16,false,true
0,0,241,15,16,false,true
0,0,239,17,16,false,true
0,0,210,46,16,false,true
0,0,232,24,16,false,true
0,0,225,31,16,false,true
0,0,218,38,16,false,true
0,0,216,40,16,false,true
0,0,242,14,16,false,true
0,0,225,31,16,false,true
0,0,228,28,16,false,true
0,0,215,41,16,false,true
0,0,240,16,16,false,true
0,0,244,12,16,false,true
0,0,235,21,16,false,true
0,0,250,6,16,false,true
0,0,256,0,16,false,true
