R,P,S,M,Size,Well Mixed,Random
68,69,119,0,16,false,false
45,153,58,0,16,false,false
120,71,65,0,16,false,false
10,87,159,0,16,false,false
136,92,28,0,16,false,false
13,129,114,0,16,false,false
148,59,49,0,16,false,false
54,57,145,0,16,false,false
93,127,36,0,16,false,false
66,79,111,0,16,false,false
72,106,78,0,16,false,false
117,62,77,0,16,false,false
58,130,68,0,16,false,false
97,47,112,0,16,false,false
20,129,107,0,16,false,false
178,34,44,0,16,false,false
25,112,119,0,16,false,false
135,47,74,0,16,false,false
42,163,51,0,16,false,false
96,48,112,0,16,false,false
49,136,71,0,16,false,false
117,68,71,0,16,false,false
44,67,145,0,16,false,false
123,90,43,0,16,false,false
91,41,124,0,16,false,false
57,152,47,0,16,false,false
135,49,72,0,16,false,false
50,167,39,0,16,false,false
83,110,63,0,16,false,false
79,38,139,0,16,false,false
14,192,50,0,16,false,false
155,19,82,0,16,false,false
6,219,31,0,16,false,false
46,12,198,0,16,false,false
90,124,42,0,16,false,false
79,37,140,0,16,false,false
22,206,28,0,16,false,false
67,2,187,0,16,false,false
256,0,0,0,16,false,false
