R,P,S,M,Size,Well Mixed,Random
29,49,67,111,16,false,true
65,8,53,130,16,false,true
91,27,0,138,16,false,true
27,84,0,145,16,false,true
0,125,0,131,16,false,true
0,117,0,139,16,false,true
0,113,0,143,16,false,true
0,119,0,137,16,false,true
0,115,0,141,16,false,true
0,115,0,141,16,false,true
0,162,0,94,16,false,true
0,172,0,84,16,false,true
0,226,0,30,16,false,true
0,222,0,34,16,false,true
0,233,0,23,16,false,true
0,241,0,15,16,false,true
0,243,0,13,16,false,true
0,243,0,13,16,false,true
0,228,0,28,16,false,true
0,206,0,50,16,false,true
0,194,0,62,16,false,true
0,173,0,83,16,false,true
0,195,0,61,16,false,true
0,219,0,37,16,false,true
0,229,0,27,16,false,true
0,228,0,28,16,false,true
0,209,0,47,16,false,true
0,215,0,41,16,false,true
0,214,0,42,16,false,true
0,191,0,65,16,false,true
0,197,0,59,16,false,true
0,201,0,55,16,false,true
0,186,0,70,16,false,true
0,208,0,48,16,false,true
0,211,0,45,16,false,true
0,228,0,28,16,false,true
0,220,0,36,16,false,true
0,225,0,31,16,false,true
0,196,0,60,16,false,true
0,191,0,65,16,false,true
0,175,0,81,16,false,true
0,189,0,67,16,false,true
0,176,0,80,16,false,true
0,176,0,80,16,false,true
0,184,0,72,16,false,true
0,157,0,99,16,false,true
0,166,0,90,16,false,true
0,165,0,91,16,false,true
0,184,0,72,16,false,true
0,179,0,77,16,false,true
0,179,0,77,16,false,true
0,181,0,75,16,false,true
0,176,0,80,16,false,true
0,200,0,56,16,false,true
0,199,0,57,16,false,true
0,154,0,102,16,false,true
0,134,0,122,16,false,true
0,132,0,124,16,false,true
0,138,0,118,16,false,true
0,157,0,99,16,false,true
0,183,0,73,16,false,true
0,201,0,55,16,false,true
0,205,0,51,16,false,true
0,214,0,42,16,false,true
0,202,0,54,16,false,true
0,195,0,61,16,false,true
0,178,0,78,16,false,true
0,183,0,73,16,false,true
0,186,0,70,16,false,true
0,214,0,42,16,false,true
0,230,0,26,16,false,true
0,217,0,39,16,false,true
0,227,0,29,16,false,true
0,231,0,25,16,false,true
0,221,0,35,16,false,true
0,212,0,44,16,false,true
0,232,0,24,16,false,true
0,254,0,2,16,false,true
0,256,0,0,16,false,true
