R,P,S,M,Size,Well Mixed,Random
76,50,56,74,16,false,true
45,85,50,76,16,false,true
51,41,112,52,16,false,true
112,36,40,68,16,false,true
13,185,0,58,16,false,true
0,201,0,55,16,false,true
0,191,0,65,16,false,true
0,222,0,34,16,false,true
0,195,0,61,16,false,true
0,182,0,74,16,false,true
0,168,0,88,16,false,true
0,106,0,150,16,false,true
0,120,0,136,16,false,true
0,87,0,169,16,false,true
0,62,0,194,16,false,true
0,68,0,188,16,false,true
0,98,0,158,16,false,true
0,100,0,156,16,false,true
0,99,0,157,16,false,true
0,83,0,173,16,false,true
0,59,0,197,16,false,true
0,48,0,208,16,false,true
0,45,0,211,16,false,true
0,39,0,217,16,false,true
0,34,0,222,16,false,true
0,16,0,240,16,false,true
0,0,0,256,16,false,true
