R,P,S,M,Size,Well Mixed,Random
78,60,118,0,16,false,false
105,106,45,0,16,false,false
89,45,122,0,16,false,false
63,103,90,0,16,false,false
103,99,54,0,16,false,false
58,117,81,0,16,false,false
108,95,53,0,16,false,false
83,62,111,0,16,false,false
126,84,46,0,16,false,false
43,70,143,0,16,false,false
118,85,53,0,16,false,false
66,58,132,0,16,false,false
115,62,79,0,16,false,false
82,88,86,0,16,false,false
79,104,73,0,16,false,false
106,15,135,0,16,false,false
36,197,23,0,16,false,false
23,16,217,0,16,false,false
199,50,7,0,16,false,false
0,256,0,0,16,false,false
