R,P,S,M,Size,Well Mixed,Random
58,70,50,78,16,false,true
70,36,112,38,16,false,true
107,60,46,43,16,false,true
46,82,88,40,16,false,true
72,102,43,39,16,false,true
51,15,149,41,16,false,true
111,70,21,54,16,false,true
42,80,85,49,16,false,true
89,68,51,48,16,false,true
58,57,73,68,16,false,true
34,100,57,65,16,false,true
107,33,48,68,16,false,true
21,94,74,67,16,false,true
84,18,75,79,16,false,true
57,129,19,51,16,false,true
66,48,77,65,16,false,true
95,49,55,57,16,false,true
72,104,36,44,16,false,true
114,37,81,24,16,false,true
57,145,40,14,16,false,true
66,24,150,16,16,false,true
62,127,31,36,16,false,true
36,14,183,23,16,false,true
107,42,79,28,16,false,true
62,90,67,37,16,false,true
91,64,58,43,16,false,true
91,48,55,62,16,false,true
31,109,24,92,16,false,true
5,58,53,140,16,false,true
0,0,81,175,16,false,true
0,0,90,166,16,false,true
0,0,111,145,16,false,true
0,0,107,149,16,false,true
0,0,104,152,16,false,true
0,0,130,126,16,false,true
0,0,138,118,16,false,true
0,0,112,144,16,false,true
0,0,83,173,16,false,true
0,0,67,189,16,false,true
0,0,48,208,16,false,true
0,0,67,189,16,false,true
0,0,79,177,16,false,true
0,0,58,198,16,false,true
0,0,78,178,16,false,true
0,0,78,178,16,false,true
0,0,64,192,16,false,true
0,0,62,194,16,false,true
0,0,75,181,16,false,true
0,0,69,187,16,false,true
0,0,89,167,16,false,true
0,0,108,148,16,false,true
0,0,66,190,16,false,true
0,0,44,212,16,false,true
0,0,40,216,16,false,true
0,0,36,220,16,false,true
0,0,32,224,16,false,true
0,0,14,242,16,false,true
0,0,0,256,16,false,true
