R,P,S,M,Size,Well Mixed,Random
81,57,57,61,16,true,true
79,28,60,89,16,true,true
72,35,89,60,16,true,true
143,26,52,35,16,true,true
153,22,30,51,16,true,true
175,11,40,30,16,true,true
10,9,162,75,16,true,true
173,0,0,83,16,true,true
174,0,0,82,16,true,true
136,0,0,120,16,true,true
146,0,0,110,16,true,true
203,0,0,53,16,true,true
153,0,0,103,16,true,true
136,0,0,120,16,true,true
152,0,0,104,16,true,true
171,0,0,85,16,true,true
164,0,0,92,16,true,true
169,0,0,87,16,true,true
221,0,0,35,16,true,true
240,0,0,16,16,true,true
240,0,0,16,16,true,true
255,0,0,1,16,true,true
256,0,0,0,16,true,true
