R,P,S,M,Size,Well Mixed,Random
80,81,95,0,16,false,false
79,105,72,0,16,false,false
110,67,79,0,16,false,false
75,73,108,0,16,false,false
83,91,82,0,16,false,false
78,76,102,0,16,false,false
65,61,130,0,16,false,false
76,142,38,0,16,false,false
121,41,94,0,16,false,false
35,132,89,0,16,false,false
81,48,127,0,16,false,false
31,150,75,0,16,false,false
109,51,96,0,16,false,false
61,100,95,0,16,false,false
136,47,73,0,16,false,false
42,143,71,0,16,false,false
55,91,110,0,16,false,false
99,112,45,0,16,false,false
97,37,122,0,16,false,false
86,109,61,0,16,false,false
95,50,111,0,16,false,false
76,90,90,0,16,false,false
79,87,90,0,16,false,false
101,52,103,0,16,false,false
84,107,65,0,16,false,false
93,43,120,0,16,false,false
80,143,33,0,16,false,false
61,33,162,0,16,false,false
64,179,13,0,16,false,false
48,92,116,0,16,false,false
153,67,36,0,16,false,false
29,119,108,0,16,false,false
200,47,9,0,16,false,false
3,144,109,0,16,false,false
157,28,71,0,16,false,false
26,136,94,0,16,false,false
173,0,83,0,16,false,false
256,0,0,0,16,false,false
