R,P,S,M,Size,Well Mixed,Random
45,72,61,78,16,false,true
67,46,71,72,16,false,true
42,96,69,49,16,false,true
86,59,59,52,16,false,true
34,103,63,56,16,false,true
92,48,86,30,16,false,true
88,74,53,41,16,false,true
32,49,106,69,16,false,true
77,37,52,90,16,false,true
12,102,47,95,16,false,true
44,24,71,117,16,false,true
53,68,54,81,16,false,true
43,80,55,78,16,false,true
49,26,117,64,16,false,true
116,73,27,40,16,false,true
49,104,71,32,16,false,true
172,34,27,23,16,false,true
7,164,71,14,16,false,true
88,29,123,16,16,false,true
84,139,33,0,16,false,true
83,49,124,0,16,false,true
100,125,31,0,16,false,true
84,30,142,0,16,false,true
13,153,90,0,16,false,true
0,0,256,0,16,false,true
