R,P,S,M,Size,Well Mixed,Random
50,24,119,63,16,true,true
16,70,82,88,16,true,true
26,163,12,55,16,true,true
73,118,12,53,16,true,true
88,112,10,46,16,true,true
156,4,28,68,16,true,true
2,35,99,120,16,true,true
162,0,0,94,16,true,true
131,0,0,125,16,true,true
58,0,0,198,16,true,true
76,0,0,180,16,true,true
35,0,0,221,16,true,true
21,0,0,235,16,true,true
62,0,0,194,16,true,true
41,0,0,215,16,true,true
48,0,0,208,16,true,true
37,0,0,219,16,true,true
22,0,0,234,16,true,true
7,0,0,249,16,true,true
2,0,0,254,16,true,true
0,0,0,256,16,true,true
