R,P,S,M,Size,Well Mixed,Random
48,64,70,74,16,false,true
42,57,61,96,16,false,true
44,43,58,111,16,false,true
77,29,37,113,16,false,true
51,49,32,124,16,false,true
30,54,52,120,16,false,true
38,60,75,83,16,false,true
51,33,87,85,16,false,true
83,60,22,91,16,false,true
27,83,58,88,16,false,true
22,30,100,104,16,false,true
48,13,25,170,16,false,true
82,9,10,155,16,false,true
17,57,0,182,16,false,true
11,47,0,198,16,false,true
0,41,0,215,16,false,true
0,54,0,202,16,false,true
0,55,0,201,16,false,true
0,60,0,196,16,false,true
0,49,0,207,16,false,true
0,54,0,202,16,false,true
0,77,0,179,16,false,true
0,64,0,192,16,false,true
0,42,0,214,16,false,true
0,56,0,200,16,false,true
0,62,0,194,16,false,true
0,44,0,212,16,false,true
0,75,0,181,16,false,true
0,57,0,199,16,false,true
0,66,0,190,16,false,true
0,52,0,204,16,false,true
0,48,0,208,16,false,true
0,85,0,171,16,false,true
0,93,0,163,16,false,true
0,85,0,171,16,false,true
0,75,0,181,16,false,true
0,69,0,187,16,false,true
0,83,0,173,16,false,true
0,109,0,147,16,false,true
0,126,0,130,16,false,true
0,125,0,131,16,false,true
0,131,0,125,16,false,true
0,99,0,157,16,false,true
0,118,0,138,16,false,true
0,80,0,176,16,false,true
0,85,0,171,16,false,true
0,110,0,146,16,false,true
0,103,0,153,16,false,true
0,149,0,107,16,false,true
0,149,0,107,16,false,true
0,171,0,85,16,false,true
0,191,0,65,16,false,true
0,211,0,45,16,false,true
0,199,0,57,16,false,true
0,220,0,36,16,false,true
0,213,0,43,16,false,true
0,243,0,13,16,false,true
0,256,0,0,16,false,true
