R,P,S,M,Size,Well Mixed,Random
86,19,66,85,16,true,true
122,29,66,39,16,true,true
80,127,37,12,16,true,true
92,122,2,40,16,true,true
0,0,180,76,16,true,true
0,0,149,107,16,true,true
0,0,189,67,16,true,true
0,0,145,111,16,true,true
0,0,136,120,16,true,true
0,0,170,86,16,true,true
0,0,180,76,16,true,true
0,0,156,100,16,true,true
0,0,188,68,16,true,true
0,0,212,44,16,true,true
0,0,173,83,16,true,true
0,0,102,154,16,true,true
0,0,109,147,16,true,true
0,0,94,162,16,true,true
0,0,120,136,16,true,true
0,0,102,154,16,true,true
0,0,154,102,16,true,true
0,0,144,112,16,true,true
0,0,138,118,16,true,true
0,0,140,116,16,true,true
0,0,128,128,16,true,true
0,0,155,101,16,true,true
0,0,126,130,16,true,true
0,0,95,161,16,true,true
0,0,136,120,16,true,true
0,0,92,164,16,true,true
0,0,98,158,16,true,true
0,0,109,147,16,true,true
0,0,146,110,16,true,true
0,0,157,99,16,true,true
0,0,140,116,16,true,true
0,0,177,79,16,true,true
0,0,184,72,16,true,true
0,0,185,71,16,true,true
0,0,143,113,16,true,true
0,0,166,90,16,true,true
0,0,154,102,16,true,true
0,0,137,119,16,true,true
0,0,140,116,16,true,true
0,0,125,131,16,true,true
0,0,140,116,16,true,true
0,0,119,137,16,true,true
0,0,105,151,16,true,true
0,0,112,144,16,true,true
0,0,124,132,16,true,true
0,0,113,143,16,true,true
0,0,170,86,16,true,true
0,0,141,115,16,true,true
0,0,96,160,16,true,true
0,0,72,184,16,true,true
0,0,35,221,16,true,true
0,0,39,217,16,true,true
0,0,60,196,16,true,true
0,0,72,184,16,true,true
0,0,50,206,16,true,true
0,0,57,199,16,true,true
0,0,38,218,16,true,true
0,0,46,210,16,true,true
0,0,50,206,16,true,true
0,0,18,238,16,true,true
0,0,14,242,16,true,true
0,0,7,249,16,true,true
0,0,4,252,16,true,true
0,0,3,253,16,true,true
0,0,3,253,16,true,true
0,0,2,254,16,true,true
0,0,0,256,16,true,true
