R,P,S,M,Size,Well Mixed,Random
46,87,49,74,16,false,true
57,25,95,79,16,false,true
69,85,24,78,16,false,true
3,158,12,83,16,false,true
0,97,63,96,16,false,true
0,5,164,87,16,false,true
0,0,175,81,16,false,true
0,0,189,67,16,false,true
0,0,218,38,16,false,true
0,0,206,50,16,false,true
0,0,208,48,16,false,true
0,0,226,30,16,false,true
0,0,238,18,16,false,true
0,0,233,23,16,false,true
0,0,218,38,16,false,true
0,0,211,45,16,false,true
0,0,222,34,16,false,true
0,0,233,23,16,false,true
0,0,249,7,16,false,true
0,0,249,7,16,false,true
0,0,249,7,16,false,true
0,0,256,0,16,false,true
