R,P,S,M,Size,Well Mixed,Random
95,78,27,56,16,false,true
57,69,72,58,16,false,true
36,97,74,49,16,false,true
141,12,77,26,16,false,true
62,130,54,10,16,false,true
97,19,128,12,16,false,true
36,184,28,8,16,false,true
81,43,128,4,16,false,true
103,107,43,3,16,false,true
118,44,94,0,16,false,true
82,142,32,0,16,false,true
103,68,85,0,16,false,true
67,47,142,0,16,false,true
43,180,33,0,16,false,true
73,31,152,0,16,false,true
119,105,32,0,16,false,true
147,19,90,0,16,false,true
40,195,21,0,16,false,true
104,22,130,0,16,false,true
63,154,39,0,16,false,true
179,12,65,0,16,false,true
53,137,66,0,16,false,true
165,35,56,0,16,false,true
0,256,0,0,16,false,true
