R,P,S,M,Size,Well Mixed,Random
64,86,30,76,16,false,true
22,63,89,82,16,false,true
56,66,32,102,16,false,true
59,67,30,100,16,false,true
38,72,44,102,16,false,true
99,24,46,87,16,false,true
78,41,29,108,16,false,true
20,78,62,96,16,false,true
64,9,101,82,16,false,true
190,1,4,61,16,false,true
157,48,0,51,16,false,true
28,132,0,96,16,false,true
0,159,0,97,16,false,true
0,203,0,53,16,false,true
0,209,0,47,16,false,true
0,203,0,53,16,false,true
0,211,0,45,16,false,true
0,191,0,65,16,false,true
0,195,0,61,16,false,true
0,205,0,51,16,false,true
0,221,0,35,16,false,true
0,219,0,37,16,false,true
0,191,0,65,16,false,true
0,198,0,58,16,false,true
0,188,0,68,16,false,true
0,150,0,106,16,false,true
0,142,0,114,16,false,true
0,140,0,116,16,false,true
0,146,0,110,16,false,true
0,166,0,90,16,false,true
0,198,0,58,16,false,true
0,219,0,37,16,false,true
0,220,0,36,16,false,true
0,212,0,44,16,false,true
0,224,0,32,16,false,true
0,225,0,31,16,false,true
0,214,0,42,16,false,true
0,224,0,32,16,false,true
0,225,0,31,16,false,true
0,221,0,35,16,false,true
0,223,0,33,16,false,true
0,194,0,62,16,false,true
0,196,0,60,16,false,true
0,173,0,83,16,false,true
0,183,0,73,16,false,true
0,162,0,94,16,false,true
0,182,0,74,16,false,true
0,162,0,94,16,false,true
0,177,0,79,16,false,true
0,216,0,40,16,false,true
0,239,0,17,16,false,true
0,253,0,3,16,false,true
0,256,0,0,16,false,true
