R,P,S,M,Size,Well Mixed,Random
49,95,28,84,16,false,true
1,41,110,104,16,false,true
55,0,97,104,16,false,true
90,0,18,148,16,false,true
127,0,6,123,16,false,true
149,0,0,107,16,false,true
149,0,0,107,16,false,true
117,0,0,139,16,false,true
144,0,0,112,16,false,true
166,0,0,90,16,false,true
157,0,0,99,16,false,true
107,0,0,149,16,false,true
121,0,0,135,16,false,true
148,0,0,108,16,false,true
131,0,0,125,16,false,true
159,0,0,97,16,false,true
135,0,0,121,16,false,true
134,0,0,122,16,false,true
119,0,0,137,16,false,true
93,0,0,163,16,false,true
72,0,0,184,16,false,true
91,0,0,165,16,false,true
73,0,0,183,16,false,true
66,0,0,190,16,false,true
82,0,0,174,16,false,true
113,0,0,143,16,false,true
155,0,0,101,16,false,true
118,0,0,138,16,false,true
143,0,0,113,16,false,true
132,0,0,124,16,false,true
95,0,0,161,16,false,true
88,0,0,168,16,false,true
84,0,0,172,16,false,true
65,0,0,191,16,false,true
71,0,0,185,16,false,true
104,0,0,152,16,false,true
101,0,0,155,16,false,true
78,0,0,178,16,false,true
83,0,0,173,16,false,true
93,0,0,163,16,false,true
85,0,0,171,16,false,true
89,0,0,167,16,false,true
73,0,0,183,16,false,true
83,0,0,173,16,false,true
75,0,0,181,16,false,true
81,0,0,175,16,false,true
51,0,0,205,16,false,true
66,0,0,190,16,false,true
63,0,0,193,16,false,true
67,0,0,189,16,false,true
75,0,0,181,16,false,true
76,0,0,180,16,false,true
67,0,0,189,16,false,true
64,0,0,192,16,false,true
24,0,0,232,16,false,true
14,0,0,242,16,false,true
7,0,0,249,16,false,true
0,0,0,256,16,false,true
