R,P,S,M,Size,Well Mixed,Random
75,114,22,45,16,true,true
87,99,22,48,16,true,true
63,123,47,23,16,true,true
49,86,111,10,16,true,true
84,30,123,19,16,true,true
129,10,79,38,16,true,true
6,12,167,71,16,true,true
8,187,5,56,16,true,true
0,0,199,57,16,true,true
0,0,162,94,16,true,true
0,0,175,81,16,true,true
0,0,176,80,16,true,true
0,0,113,143,16,true,true
0,0,97,159,16,true,true
0,0,34,222,16,true,true
0,0,13,243,16,true,true
0,0,33,223,16,true,true
0,0,44,212,16,true,true
0,0,37,219,16,true,true
0,0,25,231,16,true,true
0,0,29,227,16,true,true
0,0,9,247,16,true,true
0,0,0,256,16,true,true
