R,P,S,M,Size,Well Mixed,Random
83,76,97,0,16,true,false
84,118,54,0,16,true,false
112,73,71,0,16,true,false
77,102,77,0,16,true,false
53,77,126,0,16,true,false
66,20,170,0,16,true,false
164,39,53,0,16,true,false
46,174,36,0,16,true,false
68,169,19,0,16,true,false
28,147,81,0,16,true,false
17,64,175,0,16,true,false
32,37,187,0,16,true,false
45,18,193,0,16,true,false
124,37,95,0,16,true,false
82,126,48,0,16,true,false
63,21,172,0,16,true,false
143,26,87,0,16,true,false
133,100,23,0,16,true,false
101,145,10,0,16,true,false
79,174,3,0,16,true,false
0,0,256,0,16,true,false
