R,P,S,M,Size,Well Mixed,Random
65,72,119,0,16,false,false
60,118,78,0,16,false,false
143,67,46,0,16,false,false
75,99,82,0,16,false,false
94,69,93,0,16,false,false
48,78,130,0,16,false,false
131,83,42,0,16,false,false
66,61,129,0,16,false,false
93,95,68,0,16,false,false
54,27,175,0,16,false,false
116,103,37,0,16,false,false
83,50,123,0,16,false,false
79,120,57,0,16,false,false
71,41,144,0,16,false,false
76,132,48,0,16,false,false
45,38,173,0,16,false,false
44,161,51,0,16,false,false
138,39,79,0,16,false,false
82,48,126,0,16,false,false
77,129,50,0,16,false,false
148,27,81,0,16,false,false
5,207,44,0,16,false,false
101,29,126,0,16,false,false
61,178,17,0,16,false,false
49,20,187,0,16,false,false
224,30,2,0,16,false,false
9,247,0,0,16,false,false
0,256,0,0,16,false,false
